X_GK,Y_GK,channel_azimuth_deg,source
4393651.0,4588143.97,138.5,river
4393651.0,4588843.97,148.0,river
4393651.0,4591643.97,149.9,river
4393651.0,4592343.97,147.2,river
4393651.0,4593043.97,141.4,river
4393651.0,4593743.97,137.4,river
4393651.0,4618943.97,14.7,river
4393651.0,4619643.97,14.4,river
4394351.0,4577643.97,138.4,river
4394351.0,4581143.97,135.5,river
4394351.0,4581843.97,133.0,river
4394351.0,4582543.97,130.4,river
4394351.0,4583243.97,127.4,river
4394351.0,4583943.97,126.4,river
4394351.0,4584643.97,126.8,river
4394351.0,4585343.97,127.9,river
4394351.0,4586043.97,129.6,river
4394351.0,4586743.97,130.6,river
4394351.0,4587443.97,133.5,river
4394351.0,4588143.97,138.7,river
4394351.0,4591643.97,157.5,river
4394351.0,4592343.97,154.1,river
4394351.0,4593043.97,149.4,river
4394351.0,4618943.97,11.1,river
4394351.0,4619643.97,9.0,river
4395051.0,4577643.97,145.4,river
4395051.0,4578343.97,143.8,river
4395051.0,4580443.97,141.7,river
4395051.0,4581143.97,140.7,river
4395051.0,4581843.97,138.0,river
4395051.0,4582543.97,134.3,river
4395051.0,4583243.97,131.7,river
4395051.0,4583943.97,128.8,river
4395051.0,4584643.97,128.7,river
4395051.0,4585343.97,128.4,river
4395051.0,4586043.97,130.7,river
4395051.0,4586743.97,132.8,river
4395051.0,4587443.97,137.4,river
4395051.0,4592343.97,162.3,river
4395051.0,4618943.97,9.4,river
4395051.0,4619643.97,8.2,river
4395751.0,4578343.97,150.1,river
4395751.0,4579043.97,150.3,river
4395751.0,4579743.97,148.4,river
4395751.0,4580443.97,146.0,river
4395751.0,4581143.97,144.5,river
4395751.0,4581843.97,143.1,river
4395751.0,4582543.97,140.0,river
4395751.0,4583243.97,136.9,river
4395751.0,4583943.97,135.6,river
4395751.0,4584643.97,134.6,river
4395751.0,4585343.97,133.5,river
4395751.0,4586043.97,131.0,river
4395751.0,4586743.97,133.9,river
4395751.0,4592343.97,167.6,river
4395751.0,4618943.97,7.2,river
4395751.0,4619643.97,6.3,river
4396451.0,4578343.97,161.5,river
4396451.0,4579043.97,157.3,river
4396451.0,4579743.97,151.6,river
4396451.0,4580443.97,147.9,river
4396451.0,4581143.97,149.3,river
4396451.0,4581843.97,152.2,river
4396451.0,4582543.97,150.2,river
4396451.0,4583243.97,145.0,river
4396451.0,4583943.97,142.6,river
4396451.0,4584643.97,141.0,river
4396451.0,4585343.97,134.8,river
4396451.0,4586043.97,124.2,river
