x_km,y_km,src
3.774,33.08,map1_tophat
3.833,33.08,map1_tophat
3.892,33.081,map1_tophat
3.951,33.081,map1_tophat
4.129,33.083,map1_tophat
4.188,33.084,map1_tophat
4.247,33.085,map1_tophat
4.306,33.085,map1_tophat
4.366,33.086,map1_tophat
4.543,33.088,map1_tophat
4.602,33.088,map1_tophat
4.662,33.089,map1_tophat
2.412,32.965,map1_tophat
2.472,32.966,map1_tophat
3.833,32.98,map1_tophat
3.892,32.981,map1_tophat
4.188,32.984,map1_tophat
4.248,32.985,map1_tophat
4.307,32.985,map1_tophat
2.413,32.865,map1_tophat
2.472,32.866,map1_tophat
2.413,32.765,map1_tophat
2.472,32.766,map1_tophat
2.354,32.664,map1_tophat
2.413,32.665,map1_tophat
2.473,32.666,map1_tophat
2.828,32.67,map1_tophat
2.887,32.67,map1_tophat
2.355,32.564,map1_tophat
2.414,32.565,map1_tophat
2.828,32.57,map1_tophat
2.887,32.57,map1_tophat
2.355,32.464,map1_tophat
2.414,32.465,map1_tophat
2.829,32.47,map1_tophat
2.888,32.47,map1_tophat
2.355,32.365,map1_tophat
2.415,32.365,map1_tophat
2.829,32.37,map1_tophat
2.888,32.37,map1_tophat
2.947,32.371,map1_tophat
2.356,32.265,map1_tophat
2.77,32.269,map1_tophat
2.829,32.27,map1_tophat
2.889,32.27,map1_tophat
2.297,32.164,map1_tophat
2.356,32.165,map1_tophat
2.711,32.168,map1_tophat
2.771,32.169,map1_tophat
2.83,32.17,map1_tophat
2.889,32.17,map1_tophat
2.238,32.063,map1_tophat
2.297,32.064,map1_tophat
2.357,32.065,map1_tophat
2.653,32.068,map1_tophat
2.712,32.068,map1_tophat
2.771,32.069,map1_tophat
2.83,32.07,map1_tophat
2.889,32.07,map1_tophat
2.238,31.963,map1_tophat
2.298,31.964,map1_tophat
2.653,31.968,map1_tophat
2.712,31.968,map1_tophat
2.771,31.969,map1_tophat
2.83,31.97,map1_tophat
2.18,31.863,map1_tophat
2.239,31.863,map1_tophat
2.298,31.864,map1_tophat
2.594,31.867,map1_tophat
2.653,31.868,map1_tophat
