pt,X_GK,Y_GK,x_km,y_km
2101,4393345.69,4594454.05,11.59469000000041,18.210080000000076
2102,4393305.29,4594542.02,11.554290000000037,18.298049999999815
2103,4393264.89,4594542.02,11.513889999999664,18.298049999999815
2104,4393224.49,4594629.99,11.473490000000224,18.386020000000485
2105,4393184.09,4594717.96,11.43308999999985,18.473990000000224
2106,4393143.69,4594805.93,11.39269000000041,18.561959999999964
2107,4393103.29,4594893.9,11.352290000000037,18.649930000000634
2108,4393062.89,4594893.9,11.311889999999664,18.649930000000634
2109,4393022.49,4594981.88,11.271490000000224,18.73791000000015
2110,4393022.49,4595069.85,11.271490000000224,18.825879999999888
2111,4392982.09,4595069.85,11.23108999999985,18.825879999999888
2112,4392941.69,4595157.82,11.19069000000041,18.913850000000558
2113,4392982.09,4595245.79,11.23108999999985,19.001820000000297
2114,4392941.69,4595245.79,11.19069000000041,19.001820000000297
2115,4392901.29,4595333.76,11.150290000000037,19.089790000000036
2116,4392860.89,4595421.73,11.109889999999664,19.177760000000706
2117,4392860.89,4595509.7,11.109889999999664,19.265730000000445
2118,4392901.29,4595597.68,11.150290000000037,19.353709999999964
2119,4392860.89,4595597.68,11.109889999999664,19.353709999999964
2120,4392820.49,4595685.65,11.069490000000224,19.441680000000634
2121,4392860.89,4595773.62,11.109889999999664,19.529650000000373
2122,4392860.89,4595861.59,11.109889999999664,19.617620000000112
2123,4392860.89,4595949.56,11.109889999999664,19.70558999999985
2124,4392901.29,4596037.53,11.150290000000037,19.79356000000052
2125,4392941.69,4596125.5,11.19069000000041,19.88153000000026
2126,4392982.09,4596213.47,11.23108999999985,19.9695
2127,4393022.49,4596213.47,11.271490000000224,19.9695
2128,4393022.49,4596301.45,11.271490000000224,20.057480000000446
2129,4393062.89,4596389.42,11.311889999999664,20.145450000000185
2130,4393103.29,4596477.39,11.352290000000037,20.233419999999924
2131,4393143.69,4596389.42,11.39269000000041,20.145450000000185
2132,4393143.69,4596477.39,11.39269000000041,20.233419999999924
2133,4393143.69,4596565.36,11.39269000000041,20.321390000000598
2134,4393184.09,4596653.33,11.43308999999985,20.409360000000337
2135,4393184.09,4596741.3,11.43308999999985,20.497330000000076
2136,4393143.69,4596741.3,11.39269000000041,20.497330000000076
2137,4393103.29,4596829.27,11.352290000000037,20.585299999999815
2138,4393062.89,4596917.25,11.311889999999664,20.67328000000026
2139,4393022.49,4596917.25,11.271490000000224,20.67328000000026
2140,4392982.09,4596917.25,11.23108999999985,20.67328000000026
2141,4392941.69,4596917.25,11.19069000000041,20.67328000000026
2142,4392901.29,4597005.22,11.150290000000037,20.76125
2143,4392860.89,4597005.22,11.109889999999664,20.76125
2144,4392820.49,4597005.22,11.069490000000224,20.76125
2145,4392780.09,4597093.19,11.02908999999985,20.84922000000067
2146,4392739.69,4597093.19,10.98869000000041,20.84922000000067
2147,4392699.29,4597093.19,10.948290000000037,20.84922000000067
2148,4392658.89,4597181.16,10.907889999999664,20.93719000000041
2149,4392618.5,4597181.16,10.8675,20.93719000000041
2150,4392578.1,4597181.16,10.827099999999627,20.93719000000041
2151,4392537.7,4597181.16,10.786700000000186,20.93719000000041
2152,4392497.3,4597269.13,10.746299999999813,21.02516000000015
2153,4392456.9,4597269.13,10.705900000000373,21.02516000000015
2154,4392416.5,4597269.13,10.6655,21.02516000000015
2155,4392376.1,4597269.13,10.625099999999627,21.02516000000015
2156,4392335.7,4597357.1,10.584700000000186,21.113129999999888
2157,4392295.3,4597357.1,10.544299999999813,21.113129999999888
2158,4392254.9,4597357.1,10.503900000000373,21.113129999999888
2159,4392214.5,4597269.13,10.4635,21.02516000000015
2160,4392174.1,4597269.13,10.423099999999627,21.02516000000015
2161,4392133.7,4597181.16,10.382700000000186,20.93719000000041
2162,4392093.3,4597269.13,10.342299999999813,21.02516000000015
2163,4392093.3,4597181.16,10.342299999999813,20.93719000000041
2164,4392052.9,4597093.19,10.301900000000373,20.84922000000067
2165,4392012.5,4597093.19,10.2615,20.84922000000067
2166,4391972.1,4597093.19,10.221099999999627,20.84922000000067
2167,4391931.7,4597093.19,10.180700000000186,20.84922000000067
2168,4391891.3,4597005.22,10.140299999999813,20.76125
2169,4391850.9,4596917.25,10.099900000000373,20.67328000000026
2170,4391810.5,4596917.25,10.0595,20.67328000000026
2171,4391770.1,4596917.25,10.019099999999627,20.67328000000026
2172,4391729.7,4596917.25,9.978700000000186,20.67328000000026
2173,4391689.3,4597005.22,9.938299999999813,20.76125
2174,4391648.9,4597093.19,9.897900000000373,20.84922000000067
2175,4391648.9,4597181.16,9.897900000000373,20.93719000000041
2176,4391689.3,4597269.13,9.938299999999813,21.02516000000015
2177,4391648.9,4597269.13,9.897900000000373,21.02516000000015
2178,4391608.5,4597269.13,9.8575,21.02516000000015
2179,4391568.11,4597269.13,9.817110000000335,21.02516000000015
2180,4391527.71,4597357.1,9.776709999999962,21.113129999999888
2181,4391568.11,4597445.07,9.817110000000335,21.201100000000558
2182,4391568.11,4597533.05,9.817110000000335,21.289080000000073
2183,4391608.5,4597621.02,9.8575,21.377049999999812
2184,4391608.5,4597708.99,9.8575,21.465020000000486
2185,4391608.5,4597796.96,9.8575,21.552990000000225
2186,4391568.11,4597708.99,9.817110000000335,21.465020000000486
2187,4391527.71,4597796.96,9.776709999999962,21.552990000000225
2188,4391487.31,4597796.96,9.736309999999591,21.552990000000225
2189,4391446.91,4597884.93,9.695910000000149,21.640959999999964
2190,4391406.51,4597972.9,9.655509999999776,21.728930000000634
2191,4391366.11,4598060.87,9.615110000000335,21.816900000000373
2192,4391366.11,4598148.85,9.615110000000335,21.90487999999989
2193,4391325.71,4598148.85,9.574709999999962,21.90487999999989
2194,4391285.31,4598148.85,9.534309999999591,21.90487999999989
2195,4391244.91,4598236.82,9.493910000000149,21.99285000000056
2196,4391244.91,4598324.79,9.493910000000149,22.080820000000298
2197,4391285.31,4598412.76,9.534309999999591,22.168790000000037
2198,4391244.91,4598500.73,9.493910000000149,22.256760000000707
2199,4391285.31,4598588.7,9.534309999999591,22.344730000000446
2200,4391244.91,4598676.67,9.493910000000149,22.432700000000185
2201,4391285.31,4598764.64,9.534309999999591,22.520669999999924
2202,4391325.71,4598852.62,9.574709999999962,22.608650000000374
2203,4391366.11,4598940.59,9.615110000000335,22.696620000000113
2204,4391406.51,4599028.56,9.655509999999776,22.784589999999852
2205,4391446.91,4599028.56,9.695910000000149,22.784589999999852
2206,4391487.31,4599116.53,9.736309999999591,22.872560000000522
2207,4391527.71,4599116.53,9.776709999999962,22.872560000000522
2208,4391568.11,4599116.53,9.817110000000335,22.872560000000522
2209,4391608.5,4599116.53,9.8575,22.872560000000522
2210,4391648.9,4599116.53,9.897900000000373,22.872560000000522
2211,4391689.3,4599028.56,9.938299999999813,22.784589999999852
2212,4391729.7,4599028.56,9.978700000000186,22.784589999999852
2213,4391770.1,4598940.59,10.019099999999627,22.696620000000113
2214,4391810.5,4598940.59,10.0595,22.696620000000113
2215,4391850.9,4599028.56,10.099900000000373,22.784589999999852
2216,4391891.3,4599028.56,10.140299999999813,22.784589999999852
2217,4391931.7,4598940.59,10.180700000000186,22.696620000000113
2218,4391972.1,4598940.59,10.221099999999627,22.696620000000113
2219,4392012.5,4598940.59,10.2615,22.696620000000113
2220,4392052.9,4598940.59,10.301900000000373,22.696620000000113
2221,4392093.3,4598940.59,10.342299999999813,22.696620000000113
2222,4392133.7,4598940.59,10.382700000000186,22.696620000000113
2223,4392174.1,4598940.59,10.423099999999627,22.696620000000113
2224,4392214.5,4598940.59,10.4635,22.696620000000113
2225,4392254.9,4598940.59,10.503900000000373,22.696620000000113
2226,4392295.3,4598940.59,10.544299999999813,22.696620000000113
2227,4392335.7,4599028.56,10.584700000000186,22.784589999999852
2228,4392376.1,4599028.56,10.625099999999627,22.784589999999852
2229,4392416.5,4599028.56,10.6655,22.784589999999852
2230,4392456.9,4599116.53,10.705900000000373,22.872560000000522
2231,4392497.3,4599028.56,10.746299999999813,22.784589999999852
2232,4392537.7,4599116.53,10.786700000000186,22.872560000000522
2233,4392578.1,4599116.53,10.827099999999627,22.872560000000522
2234,4392618.5,4599116.53,10.8675,22.872560000000522
2235,4392658.89,4599204.5,10.907889999999664,22.96053000000026
2236,4392699.29,4599204.5,10.948290000000037,22.96053000000026
2237,4392739.69,4599204.5,10.98869000000041,22.96053000000026
2238,4392780.09,4599204.5,11.02908999999985,22.96053000000026
2239,4392820.49,4599204.5,11.069490000000224,22.96053000000026
2240,4392860.89,4599292.47,11.109889999999664,23.0485
2241,4392901.29,4599380.44,11.150290000000037,23.13647000000067
2242,4392901.29,4599468.42,11.150290000000037,23.224450000000186
2243,4392901.29,4599556.39,11.150290000000037,23.312419999999925
2244,4392901.29,4599644.36,11.150290000000037,23.400390000000595
2245,4392901.29,4599732.33,11.150290000000037,23.488360000000334
2246,4392860.89,4599820.3,11.109889999999664,23.576330000000073
2247,4392860.89,4599908.27,11.109889999999664,23.664299999999812
2248,4392820.49,4599820.3,11.069490000000224,23.576330000000073
2249,4392780.09,4599908.27,11.02908999999985,23.664299999999812
2250,4392739.69,4599908.27,10.98869000000041,23.664299999999812
2251,4392699.29,4599996.24,10.948290000000037,23.752270000000486
2252,4392658.89,4599996.24,10.907889999999664,23.752270000000486
2253,4392618.5,4599996.24,10.8675,23.752270000000486
2254,4392578.1,4599908.27,10.827099999999627,23.664299999999812
2255,4392537.7,4599908.27,10.786700000000186,23.664299999999812
2256,4392497.3,4599908.27,10.746299999999813,23.664299999999812
2257,4392456.9,4599908.27,10.705900000000373,23.664299999999812
2258,4392416.5,4599820.3,10.6655,23.576330000000073
2259,4392416.5,4599732.33,10.6655,23.488360000000334
