mode,fold,Well_ID,logK_obs,logK_pred,logK_sd,h_obs,h_pred,h_sd,cov90_K,cov90_h
+L5+L6,3,A21,4.86753445045558,4.57635849316915,0.0488026340222774,6,10.8841300646464,1.55930482344332,0,0
+L5+L6,3,A28,5.29831736654804,5.14011611938477,0.0565054923419392,44,32.2361806233724,1.19863607183001,0,0
+L5+L6,4,R11,4.24849524204936,4.53046224912008,0.0695320809335214,7,16.9925094922384,1.70042128607726,0,0
+L5+L6,4,R13,4.60517018598809,4.47957019805908,0.0635700612188085,20,18.0298572222392,1.81567301229938,0,1
+L5+L6,4,A11,3.91202300542815,4.23713715871175,0.0728613913475036,30,32.4542790095011,1.60445564320096,0,1
+L5+L6,4,A12,4.60517018598809,4.42475622495015,0.0595143293265729,26,21.2467356999715,1.83980008753543,0,0
+L5+L6,4,A14,4.86753445045558,4.73684295018514,0.0631252432563137,4,8.39963658650716,2.40327370302388,0,0
+L5+L6,4,A17,4.60517018598809,4.42041403452555,0.061339741045095,25,24.791870880127,1.81949182037914,0,1
+L5+L6,4,A24,3.91202300542815,4.26268097559611,0.0610424674451492,35,32.4393109003703,1.65278433497505,0,1
+L5+L6,5,P4,5.29831736654804,5.14359793663025,0.0536179406342313,36,33.1708678563436,2.05220688122389,0,1
+L5+L6,5,P17,5.29831736654804,4.74398655891418,0.0596330479836361,25,33.1806780497233,2.02090519590649,0,0
+L5+L6,5,P20,4.60517018598809,4.44677413304647,0.0511785207144099,20,17.484016418457,2.07089419266476,0,1
+L5+L6,5,R16,4.60517018598809,4.41284726460775,0.061469374597563,26,21.0948499679565,1.48157408121117,0,0
+L5+L6,5,A5,5.29831736654804,4.90592999458313,0.0697491264302243,40,33.5823253631592,1.55967033886256,0,0
+L5+L6,5,A10,5.29831736654804,4.82436378796895,0.0582034052794912,25,32.8256740570068,1.4677004493056,0,0
+L5+L6,5,A13,4.60517018598809,4.24573629697164,0.077395532203818,25,31.2846335728963,1.72460282564408,0,0
+L5+L7,1,P3,5.29831736654804,5.13284196853638,0.0581098893314596,24,32.6368242899577,1.34369679144874,0,0
+L5+L7,1,P5,5.29831736654804,5.17410686810811,0.0574320250598191,38,32.874497350057,1.7695556794583,0,0
+L5+L7,1,P10,5.29831736654804,5.09529198010763,0.0677771369929047,37,32.2425089518229,1.51609515903867,0,0
+L5+L7,1,P12,3.91202300542815,5.07595467567444,0.0825587621445649,25,32.8865600585938,1.49996447218621,0,0
+L5+L7,1,P19,4.86753445045558,4.61318718592326,0.0655204416243786,4,8.97344646453857,1.91833937699001,0,0
+L5+L7,1,R8,4.86753445045558,4.50895195007324,0.0671133202708277,10,14.2580019315084,1.52815352722098,0,0
+L5+L7,1,A4,5.29831736654804,5.1730020682017,0.0539669545555854,26,32.4575700759888,1.70118314760119,0,0
+L5+L7,1,A23,3.91202300542815,4.17129955291748,0.0614817373760951,45,32.8461802164714,1.74979695853088,0,0
+L5+L7,2,P13,3.91202300542815,4.22642523447673,0.0773488626417838,35,32.5087317148844,1.90147101868729,0,1
+L5+L7,2,P21,4.60517018598809,4.48931310971578,0.0617851747949627,32,25.3222736358643,1.52034040931112,0,0
+L5+L7,2,R12,4.60517018598809,4.58825214703878,0.0634837010042083,20,14.4770325660706,1.46692898155376,1,0
+L5+L7,2,R15,4.60517018598809,4.51686466534932,0.068118545450581,20,17.9297593752543,2.17824070718868,1,1
+L5+L7,2,A1,5.29831736654804,5.1087215423584,0.0646098824712184,38,32.5219347635905,1.7625072427757,0,0
+L5+L7,2,A18,3.91202300542815,4.58351001739502,0.0654905275135042,15,17.9644440968831,2.31970967235699,0,1
+L5+L7,2,A25,3.91202300542815,4.39718820254008,0.08552754484784,25,31.6884452819824,1.82820280439969,0,0
+L5+L7,2,A30,5.29831736654804,5.11611026128133,0.0706283074430548,36,32.2311416625977,1.9269850289736,0,0
+L5+L7,3,P9,5.01063529409626,4.70276141166687,0.0678763342276647,40,32.5394503911336,1.33618144928467,0,0
+L5+L7,3,P15,3.91202300542815,4.22943091392517,0.0840340929754526,45,32.3744696935018,1.77467912692233,0,0
+L5+L7,3,A3,5.29831736654804,5.03649675051371,0.0657337804130722,14,32.4860910415649,1.48217175745083,0,0
+L5+L7,3,A9,5.29831736654804,5.0714954217275,0.064588025930742,30,32.2212664286296,1.77828948545928,0,1
+L5+L7,3,A20,4.60517018598809,4.37563622792562,0.0441440021419287,25,29.0332541783651,1.64051550136656,0,0
+L5+L7,3,A21,4.86753445045558,4.60061736106873,0.0460983055834851,6,10.6921491940816,1.91224059031535,0,0
+L5+L7,3,A28,5.29831736654804,5.12963383992513,0.0620133521987094,44,32.8232857386271,1.85719664529509,0,0
+L5+L7,4,R11,4.24849524204936,4.55045612653096,0.0711999759148759,7,16.5030369758606,2.2296925013366,0,0
+L5+L7,4,R13,4.60517018598809,4.52572331428528,0.0482481490059019,20,17.303848139445,1.25341232904045,0,0
+L5+L7,4,A11,3.91202300542815,4.24473071098328,0.0575723485633977,30,32.5264717737834,1.49762710246134,0,0
+L5+L7,4,A12,4.60517018598809,4.46941784222921,0.0670755746103193,26,21.3968334833781,1.96066875248666,0,0
+L5+L7,4,A14,4.86753445045558,4.7429571946462,0.0535453183005643,4,8.43110275268555,2.13401974524911,0,0
+L5+L7,4,A17,4.60517018598809,4.46071228981018,0.0680042548702383,25,24.5920087178548,1.52683000546906,0,1
+L5+L7,4,A24,3.91202300542815,4.26444741884867,0.0760979848167492,35,32.6509108225505,1.64403066808552,0,1
+L5+L7,5,P4,5.29831736654804,5.1594056447347,0.0725690954790571,36,32.6002425511678,2.48747922015229,0,1
+L5+L7,5,P17,5.29831736654804,4.75920759836833,0.0757844389946784,25,32.7086878458659,1.23645683533224,0,0
+L5+L7,5,P20,4.60517018598809,4.45788059234619,0.0593115452458418,20,17.4295277277629,2.11238361664757,0,1
+L5+L7,5,R16,4.60517018598809,4.43205908139547,0.0680054797199089,26,21.3865557352702,1.74362429619164,0,0
+L5+L7,5,A5,5.29831736654804,4.90535689989726,0.0724879591989888,40,33.3300312678019,1.9464298037569,0,0
+L5+L7,5,A10,5.29831736654804,4.76856425603231,0.0658229122126666,25,32.9609171549479,1.73314913105634,0,0
+L5+L7,5,A13,4.60517018598809,4.26667203903198,0.0574320196605165,25,30.0254058202108,1.72625188909728,0,0
+L6+L7,1,P3,5.29831736654804,5.29081711769104,0.0674091654602659,24,32.8330093383789,1.7582487893052,1,0
